id,lang,sentence
7400624,eng,She told me she was doing fine.
2563452,eng,Is this man your friend?
5813829,eng,"If you want to learn the truth, sit down and listen."
1270330,eng,"RAID-1 focuses on reliability, at the expense of storage size."
2450115,eng,Tom has no ambition.
6492302,eng,Most people who hear Tom and Mary speaking French would never guess that they weren't native speakers.
7275020,eng,Sami went back to the library.
312747,eng,She has a genius for music.
6523074,eng,Were Tom and Mary funny?
4717738,eng,"Look, tomatoes which grew up listening to Mozart!"
6522569,eng,Tom and Mary are in their pajamas.
7173893,eng,I thought that it would be better.
256057,eng,I like being alone.
3405151,eng,Please try to understand.
7501772,eng,"You didn't know I was the one who was supposed to do that, did you?"
7544003,eng,"Tom is outside, pulling weeds."
506942,eng,I've given up smoking.
6346478,eng,Tom told me he was ready to do that.
1667059,eng,He doesn't have to know.
5919579,eng,Why should I care why Tom did that?
7159189,eng,Tom is in Australia with Mary.
707023,eng,"When I was 10, my brother left our home."
6736482,eng,Tom must work.
4494246,eng,There are always choices.
680364,eng,Tom is between twenty and thirty years old.
6435635,eng,Tom is never going to change his mind.
318069,eng,The plane will arrive at three.
6707935,eng,Sami seemed very outgoing.
6039851,eng,The parrot bobbed his head up and down.
323817,eng,You must not think about your immediate profit only.
3726083,eng,I can't go even if I wanted to.
7513777,eng,I know that Tom would've done that for me.
7140928,eng,Sami wrote a song a couple of months ago.
3312945,eng,We can try again later.
6341509,eng,I wonder why Tom is hesitant to do that.
3199930,eng,I'm not going to tell.
38831,eng,I hope you will be quite well again before long.
3571967,eng,This building looks very futuristic.
2544891,eng,I'll arrange that for you.
3913857,eng,Do you know her personally?
242022,eng,There were two murders this month.
4513768,eng,She locked herself into a world of her own.
7360248,eng,Tom and Mary seemed perfectly happy.
6233192,eng,I don't understand why Tom's supposed to do that.
5641197,eng,Theirs is not as well-maintained as his.
6491620,eng,I wonder if Tom and Mary are satisfied.
6124066,eng,This is a picture of Tom and his wife.
7317246,eng,Sami started to feel better about his life.
5838601,eng,Fadil started dancing.
3822375,eng,Don't tell my mom.
32414,eng,It won't be long before the trees are bare.
6656360,eng,"Tom was confused, but Mary wasn't."
5500569,eng,Tom might be holding a grudge.
6548938,eng,Sami is a race car driver.
462524,eng,Thanks for your hospitality.
715731,eng,We had lunch at a little coffee shop.
2083618,eng,"For whither thou goest, I will go; and where thou lodgest, I will lodge: thy people shall be my people, and thy God my God:"
5282221,eng,I thought I was being helpful.
5154569,eng,Tom is caught between Scylla and Charybdis.
7522226,eng,I didn't know Tom could actually do that.
7295930,eng,These shoes are clean and beautiful.
29779,eng,Turn down the radio.
5915203,eng,I poured myself another glass of orange juice.
7383041,eng,He lives here all by himself.
6230755,eng,Tom said he'd be going back to Boston right after the game.
4983555,eng,Tom certainly has a temper.
6242643,eng,Ask Tom if he wants to do that with us.
7436020,eng,Tom wasn't ready to jump.
316144,eng,"She was a tall, slender blonde."
253051,eng,"I agree with him to a certain extent, but not entirely."
7158947,eng,I'll remain in Australia for another three weeks.
7206041,eng,Sami knows this neighborhood like the back of his hand.
5102507,eng,Tom didn't budge.
2414081,eng,Tom and Mary were sitting across from each other at a table on the veranda.
7408699,eng,They need to sort it out themselves.
7129635,eng,Do you think they're all that stupid?
7409198,eng,They folded up their umbrellas.
1635499,eng,Let's get inside.
999031,eng,It's coming up for Christmas.
256282,eng,I made a draft of my speech.
3391134,eng,Jeans are just jeans. Why did you spend so much money on designer jeans?
5502571,eng,Should I ask Tom for help?
283996,eng,"After he bumped into the shelf, the priceless china fell and shattered into fragments."
7273965,eng,People like spring.
1167535,eng,Tom is a safe driver.
6648558,eng,Tom said that he thought that Mary was outside.
7440825,eng,They said they could fix it.
7629319,eng,He taught him berber.
2830842,eng,I'm really fed up with this heat.
2528526,eng,Forget about it. It's such a small thing.
27789,eng,They are a party of six.
6250574,eng,I asked Tom to help me do that.
49654,eng,The committee is composed chiefly of professors.
3010166,eng,I was starting to lose hope.
7541054,eng,Tom and Mary locked eyes for a brief moment.
3970816,eng,That massage felt good.
7232671,eng,I don't think that Tom should've let Mary do that.
6432378,eng,I promise I'll do that before the end of the week.
4667215,eng,They call him Tom.
303187,eng,He was poor and lived in a small cabin.
1339451,eng,"As soon as he opened the door, he smelled something burning."
7519331,eng,I know that Tom isn't a wise man.
262981,eng,We couldn't play outdoors because of the intense heat.
7178151,eng,Tom said that Mary shouldn't have told John that she'd spent three years in prison.
49264,eng,The song always reminds me of my childhood.
6256955,eng,I think doing that would be fun.
5850078,eng,I really liked those guys.
18536,eng,Just because a man is rich it does not necessarily follow that he is happy.
680331,eng,Tom is balancing on a tightrope.
6509577,eng,It sounds like Tom and Mary want to do that.
6493001,eng,Tom and Mary didn't feel they should do what the other children were doing.
410601,eng,"You really are lucky, aren't you?"
6957995,eng,"I could see that she hated me and feared me, and when the thought of it drove me to drink, then she despised me as well."
5902651,eng,Fadil earns a six-figure salary.
6224412,eng,Tom doesn't have to worry about that yet.
6272931,eng,Both of them did that.
7178232,eng,Tom said that Mary may win.
7384073,eng,He paid someone to do that for him.
6253528,eng,Tom lives with his family in Boston.
7209195,eng,Please put the milk back in the refrigerator.
7186114,eng,I'm sorry that you had to get dragged into this.
5909318,eng,It looks like Tom is having a hard time doing that.
1961739,eng,I thought you were going to be at the party last night.
2390825,eng,I really don't want anything to eat right now.
7177982,eng,Tom said that Mary thought he might not have to do that.
7472869,eng,They swore that they wouldn't do that again.
7389768,eng,He left his umbrella at our place.
6064902,eng,Aren't you ever going to leave?
1460025,eng,"Unfortunately, it's raining today."
5296254,eng,That is impossible for me.
7272607,eng,Sami's parents have decided to divorce.
308161,eng,I received a letter from her to the effect that she couldn't accept my marriage proposal.
6818512,eng,"Somebody could've followed us, I suppose."
2546015,eng,I'm glad that's settled.
6652881,eng,Tom said he thought that he knew what Mary had to do.
3916583,eng,I've got no secrets from them.
692451,eng,Should I wait for you tomorrow in front of the opera house?
7150481,eng,We lived in Boston before we moved to Australia.
3312595,eng,We tried it your way last time and it didn't work.
52470,eng,Singapore has one big problem.
1037155,eng,The bus has a ten-minute delay.
5871693,eng,Fadil was somebody who showered a lot of attention on Layla.
2288910,eng,Don't ask me to explain it.
5849995,eng,I seldom listen to music at home.
2333014,eng,She gave me something.
7177810,eng,Tom said that Mary thought she might not be allowed to do that by herself.
7513573,eng,Tom said that didn't sound logical to him.
286639,eng,His letter makes me uneasy.
240024,eng,Cold calls are the primary function of the telemarketing department.
4497698,eng,Tom offered to help us do that.
7438878,eng,They said that they're feeling nervous.
6408688,eng,Mary probably just didn't know she was supposed to do that.
7107968,eng,The new tax marginalizes poor people.
3181513,eng,"You should talk to Tom, too."
2141488,eng,"Thanks to you, I have problems with my blood pressure."
278418,eng,Mail order is the main form of direct marketing.
7117819,eng,I never expected things would turn out like this.
32923,eng,"Mike visited Mr Ogaki, who is our principal."
2541531,eng,I told you to stay away from me.
4890588,eng,Tom just got out of rehab.
4894999,eng,"Let's all raise our glasses and give a toast to our special guest, eh?"
6229393,eng,Tom wouldn't have asked you for help if he could've done it by himself.
5979445,eng,I will take that as a compliment.
6496584,eng,Tom and Mary didn't have enough money to buy what they needed.
311910,eng,She fastened the clasp of her necklace.
6258967,eng,Tom hoped he'd be able to do that.
6812147,eng,I think that you know Tom already.
2367440,eng,The eternal city - that's Rome; the perpetual building site - that's Berlin.
295835,eng,He makes it a rule never to speak badly of others.
5085311,eng,Even small amounts of lead are dangerous.
1993393,eng,I'm meeting her this evening.
6270864,eng,Tom thinks Mary won't teach French.
2343604,eng,I'm in partial agreement with you.
3649301,eng,Can you speak a language other than English?
7134329,eng,"What are you chewing, big brother? a last year's gum."
6514574,eng,Tom and Mary told me they were going to win.
7132135,eng,Are there any discounts?
4737217,eng,Tom put fifty dollars on an odds-on favourite.
3959134,eng,"As the years progressed, Newton completed his work on universal gravitation, diffraction of light, centrifugal force, centripetal force, inverse-square law, bodies in motion and the variations in tides due to gravity."
3295065,eng,"After the incident, their friends and relatives began to visit them less frequently."
6518701,eng,My parents' names are Tom and Mary.
6951699,eng,I don't know where Boston is.
4977295,eng,All the criminal charges were trumped-up and the three Taliban detainees had to be released.
7156698,eng,Tom ought to have known Mary was in Australia.
3455718,eng,Don't you ever dust this place?
4495887,eng,The rash never came back.
6123713,eng,Tom has moved in with us.
6076668,eng,Tom slipped on the ice and fell.
6043048,eng,Layla might have disappeared by choice.
6395835,eng,You won't get rid of me so easily.
3560947,eng,Tom wanted to ask her to dance but was afraid that she would say no.
2512196,eng,"If you aren't careful, you'll fail again."
6341998,eng,I'm the French teacher at Tom's school.
1275449,eng,"Keep your eyes peeled, people."
6949667,eng,Tom is drinking coffee with rancid cream and eating figs. Good times.
7407309,eng,They got back into their car.
43133,eng,That is your major problem.
2237404,eng,Tom needed hope.
6502314,eng,Tom and Mary say they don't know how John will do that.
5851946,eng,Tom says that's where he put it.
6728770,eng,Tom was a wealthy man before he got married.
6425082,eng,Mary wanted me to help her today.
2345803,eng,"I like the station, but they broadcast the news too often."
6807180,eng,Sami started harassing Layla.
7230651,eng,I don't think that Tom is going to need our help.
5850866,eng,I never work on Sunday.
2546207,eng,I thought Tom was funny.
5454814,eng,We can't do such a thing.
3476650,eng,Horse riding is an expensive hobby.
3007161,eng,I guess it's decided.
2276085,eng,I don't know where exactly.
391967,eng,I'll be at home the next time she comes.
6229507,eng,I didn't see anyone else waiting in front of the station.
6520851,eng,Tom and Mary are likely to fail.
3660062,eng,The quick brown fox jumps over a lazy dog.
7475311,eng,They say they won't study French.
6648561,eng,Tom said that he thought Mary was nervous.
7356827,eng,It's so great to finally meet you.
59219,eng,This writer is at his best in his short stories.
256885,eng,I graduated from university last year.
5821414,eng,I don't know what made me think I could speak French.
2374704,eng,I kind of figured that out.
2218330,eng,You're positively glowing.
2260383,eng,You won't get it that way. Use two fingers.
1894188,eng,I can't stand it any longer.
3740358,eng,Let's toast to love!
298386,eng,He fixed the watch for me.
2912483,eng,How many margaritas have you drunk?
4267409,eng,I learned how to write my name when I was three.
4495397,eng,Never mind all that.
4009547,eng,Dan fixed a quick meal for Linda.
20680,eng,Joy was mingled with sorrow.
3734345,eng,The project isn't going well.
6522153,eng,Why are Tom and Mary nervous?
6510982,eng,Tom and Mary didn't tell John why they did that.
6422174,eng,Mary told me that she likes swimming.
5635855,eng,The negotiating parties failed to reach an agreement.
7205146,eng,Sami got fired that night.
5422763,eng,Does Tom like tea?
2255349,eng,You'll catch on.
3044759,eng,Does he know what you're here for?
5790439,eng,I don't remember your password.
7169634,eng,I think that Tom would like you to do that for Mary.
7264236,eng,Sami made out with Layla just now.
6250776,eng,We weren't in Boston with Tom.
2663284,eng,But that's not the real problem.
2958932,eng,Tom's honesty is beyond all question.
2813176,eng,My wife is too sincere. I don't know if it's good or bad.
6517130,eng,I know that Tom and Mary are furious.
5335609,eng,Einstein predicted that the Sun's gravity would bend light.
2013501,eng,"Hey, you want to take a walk?"
5096629,eng,There were no more questions.
2538815,eng,Tom wouldn't go without saying goodbye.
7227741,eng,I don't think that you really understand what I'm trying to say.
3930297,eng,Dan was thrown off a tall building.
1756820,eng,I want to relieve his anger.
7227426,eng,I don't think I'd ever want to do that by myself.
7159585,eng,I'll stay in Australia for three days.
244109,eng,"If my wife calls, just tell her I'm in an important meeting and cannot be disturbed."
3500198,eng,He has extensive experience and his competence has branched out into several fields.
1788191,eng,We didn't add pictures to our album.
1553320,eng,What is your greatest strength?
5738420,eng,Democrats oppose that idea.
7492850,eng,This sort of music isn't my cup of tea.
291816,eng,He moved the table aside.
6342605,eng,Tom thought I might be required to do that.
1886568,eng,Who told you to say that to me?
6407445,eng,Mary didn't seem surprised when Tom told her he wanted to do that.
3439635,eng,Tom seems to be jealous.
770407,eng,We will never do it again.
6422094,eng,Tell Mary that I need to talk to her.
295303,eng,He looks strong.
317442,eng,She is a poor cook.
6932149,eng,This is my favorite meal.
27583,eng,I decided that I was going to work as hard as I can.
1201732,eng,Her life is full of pain.
7737535,eng,I have a few more questions for Tom.
6664896,eng,I had good reason to be angry.
3357806,eng,You're trying my patience.
2985423,eng,This is quite a rainstorm.
3291526,eng,Lead us from falsehood to truth.
262354,eng,"I love music, too."
5344358,eng,The new community center was inaugurated yesterday with pomp and circumstance.
6427802,eng,"Mary is resilient, isn't she?"
2432160,eng,I'm studying English because I plan to go to the United States.
7558047,eng,George H. W. Bush had no respect for the dead whatsoever.
2218421,eng,You're tempting fate.
6919019,eng,"Tom is a heavy smoker, isn't he?"
2436381,eng,It's not always easy.
1618687,eng,For some reason he could not say the whole truth.
2544598,eng,Tom drank a glass of milk.
5747160,eng,This paper is pathetic.
6239288,eng,Tom didn't know that he had to do that today.
1679554,eng,This is the first time I've invited Mary.
1893669,eng,We'll be there.
6341577,eng,Tom is the one that told us about the problem.
7230571,eng,I don't think that Tom ever considered doing that.
6008667,eng,There are some things that people like to avoid discussing.
3825374,eng,Think about what you did.
6520757,eng,Tom and Mary can't do that themselves.
3148082,eng,Tom lapsed into a coma and didn't regain consciousness.
6268291,eng,Tom did that for his brother.
6428333,eng,Mary doesn't share her food.
4949942,eng,I know you hate it.
3905233,eng,Have you told him what to buy?
6272811,eng,I do that quite a lot.
6049353,eng,How could I say no?
7406785,eng,They're reading in their rooms.
3919747,eng,The cat hissed at them.
1025291,eng,Tom has three older brothers.
2537156,eng,Tom asked Mary if she would be willing to donate some money.
898051,eng,"In 1807, Robert Morrison, the first British Protestant missionary to China arrived in Guangzhou."
6657468,eng,I've been trying to figure out how to do that.
32350,eng,Mary has a flower in her hand.
7127407,eng,How did you come up with this approach?
3736711,eng,I think you ought to put more money into your savings account.
7732910,eng,Tom is really a good singer.
6495169,eng,Tom and Mary promised John they'd eat everything on their plates.
5720589,eng,I've never heard Tom cry.
1951615,eng,Tom can't find his watch.
3533851,eng,It's not always easy to translate.
6517704,eng,Tom and Mary told John they weren't busy.
7209556,eng,Sami is helping Layla now.
281201,eng,"In Japan, a beautiful city was built as early as the eighth century."
2592905,eng,Don't confuse love and desire.
63768,eng,There are some good apples in the basket.
3226488,eng,Tom wasn't aware of the danger.
2733175,eng,You've given up smoking.
7683068,eng,His father has never been abroad.
7502569,eng,"You didn't know that Tom wouldn't be able to do that, did you?"
5933879,eng,She hires other people to write her speeches.
2069004,eng,"Although the United States is a developed country, it still has some very poor people."
2240340,eng,Where's Tom's stuff?
6003894,eng,Everybody stared at Tom.
5190618,eng,I hope you come to my concert.
3904604,eng,I don't want you to come.
16344,eng,You have a good sense of humor.
7173083,eng,I thought that Tom would be amused by what was going on.
2236921,eng,Tom is wet.
529681,eng,A good case can be made for the legalization of drugs.
5854418,eng,Tom is now in a coma.
7504598,eng,I thought you weren't supposed to do that by yourselves.
6337612,eng,I haven't yet called back.
7472060,eng,Tom and Mary left their house before dawn.
6094752,eng,Layla realized there was no way out.
6223398,eng,Tom likes fruit more than vegetables.
3916697,eng,What did you get from her?
6497887,eng,You should've told Tom and Mary why they needed to do that.
53296,eng,Jim has gone to London.
7139763,eng,Tom is going to retire next year.
6530482,eng,Tom is running a little behind.
2406303,eng,I sent you the money you asked for.
3474353,eng,That isn't what I said.
2360859,eng,I hope I'm not boring you.
7126484,eng,Tom received the award in 2013.
7265561,eng,Sami is watching my YouTube channel.
4015799,eng,I told Tom I just want to be friends.
2397021,eng,How is this supposed to be funny?
6474446,eng,The judge declared Sami and Layla divorced.
2264202,eng,Go ahead and write your letter. I'll wait.
5240981,eng,I feel really bad about that.
6354347,eng,Tom isn't the only boy invited to Mary's party.
6260405,eng,Tom thinks Mary doesn't have a driver's license.
6120679,eng,"Tom wanted to hire us both, but he said he could only hire one of us."
7380010,eng,Mary told me she's pessimistic.
7230992,eng,I don't think that I'll be doing that anymore.
3907431,eng,I'll be good to you.
2863737,eng,"In order to tag sentences, you must, at least, be an ""advanced"" contributor."
7229500,eng,"Sami is in this story, too."
3454215,eng,Who invited you to the party?
887266,eng,She knit him a sweater for his birthday.
1347045,eng,I work as Mr. Eliot's assistant.
7229685,eng,I don't think that this is the one I that lost.
6245159,eng,I hope that Tom won't do that again.
55740,eng,This is the dog that Ken owns.
257537,eng,I ran all the way to the station this morning.
3408942,eng,Where did you read that?
5903675,eng,Mr. Jackson was my French teacher when I was in high school.
7110753,eng,I think that Tom is sloshed.
1029318,eng,Tom didn't help Mary.
7395681,eng,He says he can't remember things.
1842,eng,"If you know that something unpleasant will happen, that you will go to the dentist for example, or to France, then that is not good."
6049398,eng,Lift your right arm.
1839505,eng,I saw Tom on television.
3729601,eng,The organ started to play.
6664655,eng,We can manage this on our own.
253567,eng,I compared this picture with that picture.
5238202,eng,I'll never be able to do that.
7398001,eng,"She already knew that, didn't she?"
317890,eng,The accused was condemned to ten years in prison.
7194906,eng,All of my children go to school in Australia.
25087,eng,I need something to write with.
490763,eng,What's all the fuss about? Damned if I know!
3912422,eng,I wish I hadn't married him.
275769,eng,A number of people were drowned.
327352,eng,The world seen through the lace curtain was dark.
4497913,eng,Can anyone else do that?
5358165,eng,What do people do for fun in Boston?
5937007,eng,I thoroughly enjoyed myself in Boston.
55133,eng,These cups are all broken.
5858729,eng,I was quite wrong.
6008632,eng,"Why is it that all their examples have been translated in dozens of languages, while ours have been translated in only a few?"
7540962,eng,Tom is only pretending that he's having fun.
3912309,eng,Let's meet him at the station.
2644117,eng,I doubt that Tom is hungry.
6654347,eng,Tom said that he didn't want to go skiing with Mary.
236936,eng,Please tell me how to spell your name.
38829,eng,"Turn off the light, please."
6233088,eng,I still haven't told Tom why I needed to do that.
314479,eng,She sews with a needle and thread.
6266099,eng,Tom thinks he's a good driver.
5751960,eng,I was just devastated.
6225643,eng,That isn't the main reason why Tom wants to do that.
7258126,eng,Tom is better at this than I am.
2202701,eng,Tom is courageous.
6236197,eng,Tom said he was the only one who had to do that.
1963055,eng,Where is the ship now?
7172679,eng,I thought that Tom might stop by this afternoon.
246117,eng,The northernmost part of the city is a maze of alleys.
2897124,eng,Do seedless watermelons exist?
6648522,eng,Tom said that he thought Mary was the best singer in his class.
3820578,eng,Did you ask Tom to stop?
501171,eng,I can sing well.
6539559,eng,I've got a question for Sami.
6702707,eng,Sami had breakfast at a McDonald's.
2549151,eng,I turned Tom down.
6809315,eng,The second Gulf War caused a surge in the price of petroleum.
3825365,eng,Do you think Tom will die?
7381132,eng,Mary is now truly on her own.
5369959,eng,Those books that are in the box have all been read.
7541894,eng,Tom used to work as a private detective.
6710679,eng,Why not get some sleep?
2641873,eng,Tom is on the phone with Mary now.
6882545,eng,I shouldn't have.
4016455,eng,Tom explained the rules in detail.
6842658,eng,I think there's somebody in here.
6867848,eng,What Tom thinks isn't important.
2646271,eng,Tom was sad and upset.
5853181,eng,How's Tom tonight?
2031537,eng,I don't want to hear anything more about that.
460021,eng,My favorite color is red.
2646614,eng,Has Tom been released?
2980292,eng,Women are often objectified and treated like property.
6515390,eng,Tom and Mary are good at everything they do.
6423228,eng,Mary said she wanted to go shopping.
1027116,eng,Tom appeared to be in his early thirties.
6226577,eng,Almost everyone I know has been to Boston at least once.
6262371,eng,I'm trying to be cooperative.
6100203,eng,Layla isn't with Sami.
7374264,eng,"Mary is a beginner, but she catches on fast."
54526,eng,"If you change your address, please let me know."
3181901,eng,Tom knows what we're talking about.
5422329,eng,It's not normal.
4217005,eng,This is very easy!
5906091,eng,Tom joined the high school band.
1830621,eng,How many cookies did you eat?
3729801,eng,Tom is still pretty groggy.
5754007,eng,Tom retired from his job as a wholesaler of flowers.
58541,eng,Don't go out in this heat with a bare head.
6013593,eng,Is it really that good?
7521964,eng,I know Tom is greedy.
325806,eng,It's starting to cool off.
6807557,eng,Sami messaged Layla when he got home.
6525903,eng,I wasn't able to talk Tom into baking a cake for Mary's birthday party.
7259855,eng,Sami and Layla have started to drift apart.
2275280,eng,Don't make me shoot you.
3504508,eng,This word has three syllables.
4147463,eng,God's will is unquestionable.
4846657,eng,Mary hid behind her large sunglasses.
6506313,eng,Tom and Mary said they wouldn't mind waiting for us.
5856408,eng,I'll be asleep by the time you get here.
954071,eng,It's amazing that so many people cross this street when the light is red.
72694,eng,Let's have tea at 3:00.
3506952,eng,My mother and father aren't home right now.
5820768,eng,Tom still misses you.
2643693,eng,Tom almost bumped into Mary.
1271905,eng,Look around.
5481097,eng,Tom ordered escargots.
1867969,eng,Tom read the letter aloud.
34960,eng,I need some hangers.
7444220,eng,They told me that they didn't feel well.
7143666,eng,I didn't think that Tom would want to sing.
4427371,eng,Take one of me.
2723776,eng,I forgot them.
7286473,eng,Sami had every intention of going to the police department and report Layla.
7176832,eng,Tom said that we couldn't do anything about it.
6829712,eng,Tom and Mary have become missionaries.
7143706,eng,I didn't think that we could take that risk.
332327,eng,When you're a parent it's important to set a good example for your children.
6907460,eng,This aisle is reserved solely for toothbrushes.
3728799,eng,Tom's eyes were moist.
3567234,eng,Tom's enjoyment of his first visit to Europe was enhanced by his ready grasp of languages.
391902,eng,I like her younger sister very much.
7197417,eng,It's not something that I can decide quickly.
6512236,eng,Do you think Tom and Mary are still alive?
3204947,eng,Tom told his children that Santa Claus wasn't real.
6248538,eng,I don't feel like doing that tonight.
5592444,eng,I'll buy a book for Tom.
6435590,eng,Tom said he thought Mary was innocent.
3123766,eng,You catch more flies with honey than with vinegar.
1649015,eng,We will meet again.
3095092,eng,Aren't you pleased?
238725,eng,Her father did nothing but weep at her wedding.
6250840,eng,Tom said that the smell bothered him.
6663484,eng,Tom and I aren't the only ones who know what to do.
6251922,eng,I didn't really care what happened.
6344746,eng,Maybe you aren't doing that correctly.
5915851,eng,I usually don't wear pajamas.
7142889,eng,I think you shouldn't have eaten so much junk food.
5858128,eng,I jog every day.
7249842,eng,Sami thought I did it.
6660518,eng,Who are Tom and I supposed to go with?
3341612,eng,Are you going to open the box?
5454764,eng,I'm only interested in nonstop flights.
4586778,eng,This novel has been published in French as well.
388982,eng,He can read well enough.
6433575,eng,Tom said that Mary wouldn't want to do that.
2735594,eng,Tom has everything a boy could possibly want.
3410943,eng,"Get in the car, please."
3417377,eng,Tom is anxious to go abroad.
7388594,eng,She hopped in her car and drove off.
1069577,eng,The only thing that matters is that you are safe.
4014059,eng,Do we need to decide this right now?
3812926,eng,The state oppresses the people.
4967212,eng,You're contradicting yourselves.
6577466,eng,Can you show me your record collection?
6023017,eng,They're thieves and murderers.
802679,eng,They said his army was not strong enough to attack.
7512352,eng,I know that Tom is afraid to try new things.
2743553,eng,Tom isn't strong enough to lift that.
5009337,eng,Tom has a valid point.
4015654,eng,Would you order me a hamburger?
4329087,eng,"Since it was a fine day, I went for a walk."
4928216,eng,Has he ever snored?
7159309,eng,Tom likes talking about Australia.
5504584,eng,Tom took care of Mary's children while she was in the hospital.
3615673,eng,"Well, it happens."
7266541,eng,Sami showed Layla how to sign some basic ASL phrases.
7203171,eng,Sami can't stand to see Layla like this.
6418264,eng,Mary will get killed if she's not careful.
6530180,eng,Tom shouldn't have quit his job.
1062330,eng,Can't you move faster?
23449,eng,"Compared to our house, his is a palace."
5832808,eng,Your wedding is going to be fabulous and unforgettable.
5437166,eng,There is no middle ground between these two options.
296466,eng,He is now playing tennis on the court.
6571882,eng,Sami faced peer pressure at school.
3704871,eng,May I add you on Facebook?
7127687,eng,How do you know when it's time to pull the trigger?
7382816,eng,She seemed a little hard on herself.
7117036,eng,Tom could be intoxicated.
2372858,eng,I just needed this one.
5850742,eng,We need to create more jobs.
36598,eng,"That can diagnose anything, quicker and cheaper than a doctor."
241666,eng,I've just come up with a great idea.
3911974,eng,You'll miss her.
5886900,eng,Fadil left without a word to anyone.
7117500,eng,Tom considers Mary a friend.
6509728,eng,I think Tom and Mary need medical attention.
1870108,eng,Why are my students lazy?
286575,eng,His car is gaining on us.
2869883,eng,You speak English.
4443280,eng,You can't really figure out whether someone's a decent person or not based on their clothing.
7444051,eng,Tom and Mary told me that they won.
248654,eng,We walked about five miles.
71234,eng,I identify with you.
48652,eng,The piece was arranged for piano and orchestra.
5852345,eng,I don't agree with that at all.
5541518,eng,That is not what he is going to talk about.
7130958,eng,Tom just shook his head and laughed.
2954628,eng,You need to do something about Tom's behavior.
6555137,eng,The tree in front of the library was struck by lightning.
6049134,eng,Tom is reluctant to do that.
7389531,eng,She smiled as she took her seat.
58601,eng,This kind of plant grows only in the tropical regions.
7114183,eng,I'm afraid to kiss Tom.
5499271,eng,That puppy is so adorable.
7502970,eng,"I know that I shouldn't have asked Tom to do that, but I did."
5565536,eng,What was the announcement just now?
6416417,eng,"Mary is being very obedient today, isn't she?"
3129870,eng,That could never happen to me.
6482488,eng,I talked to Tom after class.
6868256,eng,You should have gone to Boston.
7400350,eng,She denies she broke the window.
7237042,eng,Did you know mosquitoes have teeth?
7171815,eng,I thought you said that you'd do that tomorrow.
265922,eng,It is necessary to fight AIDS with whatever weapons are at hand.
4869442,eng,"Free transportation will be provided, but you are expected to pay for your own food and drinks."
667135,eng,I won't see her anymore.
575334,eng,Is your new computer working well?
3328540,eng,Can I have another bagel?
254934,eng,I said so only by guess.
6504661,eng,Tom and Mary are waiting for that to happen again.
6267420,eng,My favorite food is pizza.
5752498,eng,Let's wrap things up.
1099660,eng,His house is near the river.
241885,eng,It is all right so far.
5860545,eng,You're a good leader.
4133545,eng,The exact same thing happened to one of my friends.
7176260,eng,Tom thinks that you can take care of yourself.
2240198,eng,Tom went away.
5730856,eng,I'll tell you what I won't buy.
6462100,eng,Sami admitted that he was having an affair with Layla.
7232580,eng,I don't think that Tom really has to do that again.
2107562,eng,Tom's lonely.
6866308,eng,Every room in my house has two or more windows.
2276475,eng,I won't say another word.
2727484,eng,We can operate a crane.
6212475,eng,"How beautifully the flowers shoot forth, but I am not weaving garlands!"
1195330,eng,Carlos Morel was the first Argentine illustrator.
250399,eng,"I, for my part, don't care."
2359505,eng,I haven't felt that way since Mary left.
