sentence,lang,predicted
"Even those who have renounced Christianity and attack it, in their inmost being still follow the Christian ideal, for hitherto neither their subtlety nor the ardor of their hearts has been able to create a higher ideal of man and of virtue than the ideal given by Christ.",eng,spa
I made Mary go there by herself.,eng,eng
She said that she felt left out.,eng,spa
Este es mi sitio.,spa,eng
We can operate a crane.,eng,spa
"In 1807, Robert Morrison, the first British Protestant missionary to China arrived in Guangzhou.",eng,spa
"Bob, ayúdame llevar esta maleta a la sala de estar.",spa,spa
El avión está a punto de despegar rumbo a París.,spa,spa
Is your new computer working well?,eng,eng
I soon learned how to swim.,eng,eng
You should probably tell Tom you don't want to do that.,eng,spa
Tom me pidió que te dijera algo.,spa,eng
Tom and Mary told me that they're unbiased.,eng,spa
My parents gave me a house when we got married.,eng,spa
A veces no sabemos si estamos enamorados.,spa,spa
Can you point me in the direction of the central station?,eng,eng
Tom and Mary are tired of people telling them what to do.,eng,spa
Tom is sitting on the bench outside the library.,eng,spa
I dunno what's with ya these days.,eng,spa
Tengo más hambre que Dios talento.,spa,eng
We alternated with each other in driving the car.,eng,spa
I'm very glad I wasn't there.,eng,spa
How wonderful a time we have had!,eng,spa
He is not your dad.,eng,spa
El cazador le disparó al pájaro.,spa,spa
A ella le gusta leer libros.,spa,spa
Tom seems to want to study French.,eng,eng
Tu sonrisa es la cosa más bonita que puedes usar.,spa,spa
Nada entorpecerá mi nefasto plan.,spa,spa
That's not too fun.,eng,spa
Borra su nombre de la lista.,spa,spa
Para mantenerme despierto quizás debería beber un poco más de café.,spa,spa
Nuestra reja es de hierro.,spa,spa
I know that Tom is the kind of guy who'd do that.,eng,spa
Puedes coger mi coche si quieres.,spa,spa
No tiene caso estudiar si te sientes cansado.,spa,spa
Cada una quedó satisfecha.,spa,eng
"Is he alive or dead? ""He's dead.""",eng,spa
I want to learn how to play chess.,eng,spa
I didn't know that your mother lived with you.,eng,spa
"Tened cuidado, ojos, con lo que veis, porque al segundo vistazo se atan vuestras manos mientras la oscuridad tira de los hilos.",spa,eng
He said he knows the rules.,eng,spa
I like to eat yellow rice with cucumber pickles.,eng,spa
Le lanzó una flecha al ciervo.,spa,eng
Tom se olvidó de que una vez le dijo a María que solo ella le da sentido a su vida.,spa,spa
La clema permite múltiples conexiones.,spa,spa
"If it rains tomorrow, will you stay at home?",eng,eng
¿Ya me puedo ir a casa?,spa,eng
Los dos son espantosos.,spa,spa
The surgeon removed the wrong organ.,eng,spa
Esta frase no existe todavía en tatoeba.org.,spa,spa
"You didn't do that by yourselves, did you?",eng,spa
I really liked those guys.,eng,spa
I could do nothing but stare stupidly at the printed page.,eng,spa
Él puede nadar una milla.,spa,spa
"I have a good watch, even if it is not brand-new.",eng,spa
Ella cargaba al bebé en su espalda.,spa,spa
Nada sucede por casualidad.,spa,spa
Ábreme.,spa,spa
Love is a luxury I simply can't afford.,eng,spa
This isn't Tom's office.,eng,eng
Tom se puso el termómetro en la boca.,spa,eng
How did you become blind?,eng,spa
He studied for ten years.,eng,spa
"Leyó esta poesía sólo una vez, no puede saberla de memoria.",spa,spa
She thinks that she's so clever.,eng,spa
I think I'll take a couple of days off next week.,eng,spa
Tom confirmed the report.,eng,spa
No estoy acostumbrado a conducir un camión tan grande.,spa,spa
I'm going out for a drink.,eng,spa
I guess my luck just ran out.,eng,spa
I never do that.,eng,spa
"A flood ravaged Florence in 1966, causing damage to many priceless works of art.",eng,spa
Pensé que él estaba enojado conmigo porque no lo ayudé a construir su casa.,spa,spa
Tom and Mary are likely to fail.,eng,eng
How can it have come to this?,eng,eng
Tom could very well be our next boss.,eng,spa
Iron is harder than gold.,eng,spa
Tom doesn't want to dance with Mary.,eng,spa
There were two cakes. I ate one and then I ate the other.,eng,spa
We can help you find her.,eng,spa
I don't even care if they hate me.,eng,eng
Tom olvidó su cita.,spa,eng
Él dijo lo mismo una y otra vez.,spa,eng
Es raro.,spa,spa
My wife's waiting for me at home.,eng,eng
May I take a rest for a while?,eng,eng
When are we leaving?,eng,spa
I can't afford to do this.,eng,spa
"Shut up and listen, kid.",eng,spa
"Las colonias son un anacronismo en el siglo XXI, donde hay solo 16 casos en todo el mundo, diez de los cuales son protagonizados por el Reino Unido.",spa,spa
Tom no se toma vacaciones con frecuencia.,spa,eng
Ayer Tomás me escribió más de treinta mensajes.,spa,spa
¿Podrías acompañarme para un paseo?,spa,eng
Are you Tom's mother?,eng,spa
"Después de la muerte de Tom, nadie estaba dispuesto a cuidar a sus perros.",spa,spa
Tom said Mary didn't look so busy.,eng,spa
¿Quién ha escrito esta carta?,spa,spa
Tom and Mary met three years ago.,eng,eng
Le encontramos con vida.,spa,spa
Tu trabajo ha mejorado notablemente.,spa,spa
Do you want the doctors to use the machine to make your brother breathe?,eng,eng
La fe es la muerte de la inteligencia.,spa,eng
I feel an aversion toward all this exhibitionism.,eng,eng
Tuvo pesadillas.,spa,spa
Tom tuvo que cuidar a Mary él mismo.,spa,eng
Ella durmió unas horas.,spa,spa
"Después del almuerzo, Klaus durmió una siesta.",spa,spa
En todas las cosas de la naturaleza hay algo maravilloso.,spa,eng
"If the people knew by what small men they are ruled, they would soon rebel.",eng,spa
"The giant bumphead parrotfish is an amazing fish that can live to be 40 years old, growing up to four feet long and 100 pounds.",eng,spa
She does anything we tell her.,eng,spa
¡Iremos pronto!,spa,eng
Do Tom and Mary like tomatoes?,eng,eng
¡Nunca me vuelvas a hablar así!,spa,spa
Tom needs his medication.,eng,spa
I don't feel safe anymore.,eng,spa
Tom can't find his watch.,eng,eng
I wasn't hurt.,eng,spa
Tom probably doesn't believe that.,eng,spa
"Caballeros, ¡suban la tapa! A las damas también les gusta sentarse en seco.",spa,eng
I told you I'm not going.,eng,spa
Yo me acuerdo de mi juventud cuando escucho esa música.,spa,eng
Hay aproximadamente 80 diferentes clases de árboles de mangle.,spa,spa
A un ángulo de 90 grados se le llama un ángulo recto.,spa,eng
Mary is the only one who seems to be enjoying herself.,eng,spa
Tom almost bumped into Mary.,eng,spa
La Teoría de los Conjuntos fue elucubrada por Georg Cantor.,spa,spa
Si yo fuese Tom le habría metido un coñazo a María en la cara.,spa,spa
Tom le enseñó a Mary a nadar.,spa,spa
I want to be at today's meeting.,eng,spa
No quiero hablar con Tom nunca más.,spa,spa
Ella ya está vieja.,spa,eng
Él conduce un Cadillac rosa.,spa,spa
He told me that he understood.,eng,spa
Tom beat the drum at a slow tempo.,eng,eng
Tom is going to make a great father.,eng,spa
"Si tú no vas a esquiar, yo tampoco iré.",spa,spa
What's gotten into you anyway?,eng,spa
¿Te ha dicho algo?,spa,eng
Tom lied about his grade.,eng,spa
I can't stand it any longer.,eng,spa
Sami didn't just attract Layla. He attracted other women as well.,eng,spa
"Cuando estás cansado, no hay nada como darse un baño.",spa,spa
John vino a Japón ayer.,spa,spa
"Me gusta, a pesar de sus defectos.",spa,eng
It will take awhile.,eng,spa
Es increíble como algunos hombres no se lavan.,spa,spa
Tom is on his way home from work.,eng,spa
She put on her coat and gloves.,eng,eng
I think Tom had to do that.,eng,spa
This method has its pluses and minuses.,eng,spa
Tom and Mary said they'd be in a meeting until 2:30.,eng,eng
We should try to get Tom to come to Australia.,eng,spa
No more words were spoken.,eng,spa
¡Todavía queda mucho por hacer!,spa,eng
Los jeans están de moda entre las chicas estos días.,spa,spa
Ella hizo todo por ella.,spa,spa
¿Has visto a mi hijo?,spa,eng
I didn't understand the meaning of the last line but one.,eng,spa
Termínalo antes de ir a dormir.,spa,spa
¿Cuándo vas a ir a Armenia?,spa,eng
I'll fill you in later.,eng,spa
Es suficiente por hoy.,spa,spa
"Un libro que valga la pena leer, vale la pena leerlo dos veces.",spa,eng
Life in jail is tough.,eng,spa
"Era muy alto y delgado, con piernas y brazos largos.",spa,spa
They're getting away with it.,eng,eng
Ella se paró en la corte en frente del juez y del jurado.,spa,spa
No puedo aceptar estas condiciones.,spa,spa
Muchos mineros temen que la mina se cierre dentro de poco.,spa,eng
El abuelo vivió hasta los 99 años.,spa,spa
Él tiene un gran corazón.,spa,spa
Tom must've thought Mary already knew how to do that.,eng,spa
La familia atravesó por un mal tiempo después de la guerra.,spa,spa
"Soy un idealista. No sé adónde voy, pero estoy de camino.",spa,eng
He is afraid of his grandfather.,eng,spa
Esa película es apropiada para gente de todas las edades.,spa,spa
"Once a habit has been acquired, it has almost compulsive power over us.",eng,spa
No te perdiste a la reunión.,spa,spa
I didn't know Tom knew why we couldn't do that for him.,eng,eng
No tiene la más mínima vergüenza.,spa,spa
You have no business here.,eng,spa
Soy un chico genial.,spa,spa
"Mary is very claustrophobic, isn't she?",eng,eng
De repente él cerró la puerta.,spa,spa
Probablemente deba agradecerte.,spa,spa
You can talk to me.,eng,eng
Él envejeció.,spa,spa
Thomas is in love with you.,eng,spa
¿Qué pasará conmigo?,spa,eng
I kind of figured that out.,eng,spa
Tom wanted me to do that with Mary.,eng,spa
No debería haber libertad para arruinar la libertad.,spa,spa
I want you to follow them.,eng,eng
El transporte público es definitivamente más cómodo que el coche.,spa,eng
God damn it!,eng,eng
Algunas cookies quedan almacenadas en el disco rígido del usuario por tiempo indefinido.,spa,spa
Ella solía visitarme regularmente.,spa,spa
Esta farofa está picante.,spa,spa
Él rescató al niño de la casa en llamas.,spa,spa
You're always welcome here.,eng,spa
Siempre trato de cumplir las normas.,spa,spa
Mary realized she had been unreasonable.,eng,spa
I have my hands full.,eng,eng
He oído que Tom y Mary quieren hablar conmigo.,spa,eng
"Debemos poner fin a la expansión urbana descontrolada y luchar contra la segregación espacial, mientas se sigue garantizando el derecho a la vivienda.",spa,spa
Ella lo presionó a que considerara la propuesta.,spa,spa
I didn't know what to do when my girlfriend told me she was pregnant.,eng,spa
I wish I'd never told Tom about what happened.,eng,spa
Sami was kind.,eng,spa
¿Por qué intentaste escapar?,spa,spa
He'll freeze to death out here.,eng,spa
Tom es bueno para escribir.,spa,spa
Mi cabeza está explotando.,spa,spa
Tom handed Mary the green notebook.,eng,spa
Do you know them?,eng,eng
Plants in the environment help slow down the process of erosion.,eng,spa
We'll be home tomorrow night.,eng,spa
I plan to stay here for three days.,eng,spa
"You're not supposed to wear lipstick at school, are you?",eng,spa
La habitación está muy limpia.,spa,eng
Sami opened that door.,eng,spa
No creo que tenga lo que se requiere para ser profesor.,spa,spa
"Cuando uno tiene que explicar una broma, es una mala broma.",spa,spa
How did Tom react to that?,eng,eng
You seem to hate women.,eng,spa
I can't blame Tom for not waiting.,eng,spa
Ella le pegó con un martillo.,spa,eng
¿Necesitas que te ayude Tom?,spa,eng
Quiero ser feliz en esta vida.,spa,spa
It was just your imagination.,eng,spa
Jim has gone to London.,eng,spa
Man should smell like a man.,eng,spa
Compré una computadora de la mejor calidad.,spa,spa
Justin escrupolosamente siguió las indicaciones.,spa,spa
I won't dispute that.,eng,spa
I think both Tom and Mary are lying.,eng,spa
Tom likes talking about Australia.,eng,spa
They say they're going to stop smoking.,eng,spa
Hablo húngaro.,spa,spa
I told you Tom could win.,eng,spa
Powerlifting saved Tom's life.,eng,eng
No se pudo comprobar la inocencia del acusado.,spa,spa
"The food wasn't good, but at least it was cheap.",eng,eng
Sami came back to visit Cairo.,eng,spa
Las deterioradas casas fueron finalmente destruidas por el pelotón.,spa,spa
Tom tuvo una cita con Mary anoche.,spa,eng
"Voy a echarlos de menos, muchachos.",spa,eng
No falta mucho para que conozcamos la verdad.,spa,spa
Tom took a bite of Mary's donut.,eng,spa
"Whether we win or lose, I won't have any hard feelings.",eng,spa
Tom knew that Mary was from Boston.,eng,spa
¿Qué te parece una taza de café?,spa,eng
"He had looked at twenty very much as he looked at sixty, lacking a little of the grayness.",eng,spa
¿Puedes imaginarte cómo sería nuestra vida sin electricidad?,spa,spa
He took the job for the sake of his career but he didn't like it.,eng,eng
He was my math teacher.,eng,spa
When was the last time you went to Australia?,eng,eng
¡Eso ahora no es importante!,spa,eng
Voy a verte mañana.,spa,spa
¿Cómo puedes estar tan seguro?,spa,eng
Mi padre saldrá en televisión esta noche.,spa,eng
I don't think that Tom ever considered doing that.,eng,spa
He popped a balloon besides my ear and I was really scared.,eng,spa
Tom y Mary se necesitaban el uno al otro.,spa,spa
Can I change the channel?,eng,eng
Tom will help you if you ask him to.,eng,eng
Él se levantó de madrugada para ir al baño.,spa,spa
Estás en la lista.,spa,spa
Llamo porque he perdido mi tarjeta de crédito.,spa,eng
I'll arrange that for you.,eng,spa
Yo mismo estoy sorprendido de estar aquí.,spa,spa
¿Qué dicen los periódicos?,spa,eng
Esta flor es la más bella del jardín.,spa,spa
There's little chance that Tom will win.,eng,spa
Teníamos un acuerdo. Lo rompiste.,spa,eng
Everyone worked according to one's capacity.,eng,spa
"Tom es zurdo, pero escribe con la mano derecha.",spa,spa
Nosotros en realidad no podemos predecir nada.,spa,spa
Mi gato se está escondiendo abajo de la cocina.,spa,spa
Podemos continuar nuestra discusión en cualquier instancia.,spa,eng
Lions are animals.,eng,spa
"Todavía me cuesta hablar sobre temas abstractos como la economía o la filosofía, porque se usan palabras con las que uno no se topa todos los días.",spa,spa
"Tom is still sitting in his car, waiting for Mary.",eng,spa
Tom está preparando el plato.,spa,eng
¿Sabe cómo cocinar pescado?,spa,eng
Tom evitaba a María.,spa,spa
Presté mucha atención a este problema.,spa,spa
¿Qué haces aquí?,spa,spa
"There's a girl—one of my friends, she says she is—who is always trying to imitate me.",eng,eng
Tom no me cuenta nada.,spa,spa
I'm afraid that I can't help you.,eng,spa
I've had a high fever for three days.,eng,spa
"Nuestro éxito fue, principalmente, debido a sus esfuerzos.",spa,spa
No sé quien canta esa canción.,spa,spa
"Tom is wearing red, isn't he?",eng,eng
I know Tom would never do that again.,eng,spa
Layla wasn't rattled by Sami's death in the least.,eng,spa
I hope to see Tom soon.,eng,spa
a ⨯ b puede ser abreviado como ab.,spa,spa
Tom is just trying to scare you.,eng,spa
Give us a call.,eng,eng
Mi vida no tiene sentido sin él.,spa,spa
La escuela empieza a las nueve y termina a las seis.,spa,eng
¿Quién me trae fruta y té?,spa,spa
The King was assaulted by terrorists.,eng,spa
Mary isn't the right girl for Tom.,eng,eng
"Tom puede hablar con Mary, si quiere.",spa,spa
¿Qué quieres insinuar con eso?,spa,eng
I think that Tom would like you to do that for Mary.,eng,spa
Alemania ganó la copa mundial 2014.,spa,eng
"As the trees crave tranquility in the ever-persistent wind, the child craves the care of its ever-absent parents.",eng,spa
Muchos consumidores se muestran preocupados por el peligro para la salud que suponen los alimentos modificados genéticamente.,spa,spa
"When Tom entered the room, he saw a large banner that said ""Happy Birthday, Tom.""",eng,spa
Tom said that he hoped Mary would be allowed to do that.,eng,spa
Otro verano llega a su fin.,spa,spa
Mi tía va al bingo todos los domingos.,spa,spa
No insinúo nada.,spa,spa
"Mary is never going to quit, is she?",eng,eng
"Tom is ready to start, isn't he?",eng,eng
Aquí está nuestra estrella.,spa,spa
¿Dónde están los vasos?,spa,eng
Estoy necesitando un amigo para desahogar mi dolor.,spa,spa
He handed her a bouquet of flowers.,eng,spa
That could be anything.,eng,spa
Las galletas tardan un tiempo en hacerse.,spa,spa
I wonder whether Tom was late or not.,eng,spa
Tom went to Boston a year ago.,eng,eng
This tree will never blossom.,eng,eng
"Tom and Mary aren't religious, are they?",eng,spa
Soy un carpintero pobre.,spa,spa
Espero que todo se terminará pronto.,spa,eng
¿Quieres descansar?,spa,spa
¡Vengan a ver eso!,spa,eng
Todos conocen sus proezas.,spa,spa
You never cease to impress me.,eng,eng
La niña escribió algo en la página del libro.,spa,spa
I didn't know who Tom and Mary were planning to see in Boston.,eng,spa
¿Es niño o niña?,spa,spa
La carne apestaba.,spa,spa
¿Tienes hermanos o hermanas?,spa,spa
Tienes que hacer el trabajo aunque no te guste.,spa,spa
We're booked for the whole month on Broadway.,eng,spa
Please don't tell anyone about this.,eng,spa
Tom eligió pasar las Navidades con Mary en vez de con su familia.,spa,eng
How do you like Japan?,eng,spa
"Ponme con el jefe, por favor.",spa,spa
"It was after midnight, and Fadil and Layla were sleeping.",eng,spa
Tom tomó un gran riesgo.,spa,eng
His brother was the same way.,eng,spa
He was happy being a Jew.,eng,spa
Sami can't be around people smoking weed.,eng,spa
"¡Paren de jugar y bailen correctamente, chicas!",spa,eng
La mayoría de las gaviotas incluyen en su dieta cangrejos y peces pequeños.,spa,spa
La habitación estaba cubierta con trozos de papel.,spa,eng
Gracias por esperarme.,spa,spa
They are much taller than us.,eng,spa
Hay una huelga.,spa,spa
Tom is a lot better at it than Mary is.,eng,spa
Habría llegado antes de haber venido en metro.,spa,spa
"No tenés que agradecer, no hice más que mi obligación.",spa,spa
Yoko evitó responder a mi pregunta.,spa,spa
Hey. Where are you going?,eng,spa
"Por cierto, la pastelería conocida como ""Shu Cream"" en Japón no es conocida bajo este nombre ni en Inglaterra ni en Francia. Si tu pides una ""crema Shu"" en Inglaterra, acabarás cómicamente recibiendo crema para limpieza de zapatos.",spa,spa
Tom set a trap.,eng,eng
Los amigos de Mary querían ayudarla.,spa,spa
