sentence,lang,predicted
Música en el alma puede ser oída por el universo.,spa,eng
"Póngase cómodo, por favor.",spa,eng
El plato se le resbaló de la mano y se quebró en el piso.,spa,eng
Esas son tus opciones.,spa,eng
Mary told me she didn't do anything wrong.,eng,eng
Tom and Mary told John that they thought Alice was unconscious.,eng,eng
¿Por qué está aquí la policía?,spa,spa
Beauty is but skin deep.,eng,spa
Ya he visto esta imagen antes.,spa,spa
A wind from the ocean blows at this time of the year.,eng,eng
La suya es una respetable familia con una larga historia detrás.,spa,eng
Solo tengo uno más.,spa,eng
I don't think Tom and Mary have health insurance.,eng,spa
No hay ninguna razón.,spa,eng
¿Dónde estaba Tom cuando se desató el incendio?,spa,spa
¿Quién mira al cielo?,spa,spa
Sami couldn't make that promise.,eng,eng
I'm wondering how long $100 will carry me.,eng,eng
Sus bromas no hacen gracia.,spa,spa
I don't know where Tom and Mary have to go.,eng,eng
Me fui al extranjero para empezar una nueva vida.,spa,spa
Tom lo está pensando.,spa,spa
This plane flies nonstop to Tokyo.,eng,eng
Aquel niño español puede cantar una aria mozartiana.,spa,spa
"Look, I don't want any trouble.",eng,eng
Voy a heredar el negocio de mi padre.,spa,spa
I wasn't looking at you.,eng,eng
"Link! ""'Sup?"" ""King Harkinian has died."" ""..."" ""What did you say, I died?!"" ""...You died."" ""You dorkface! I'm here talking to you!"" ""...No."" ""What about Ganon?"" ""He died as well! A-ah!"" ""You runt! You haven't seen the last of me yet!""",eng,spa
Nadie sabe hacia dónde fue Tom.,spa,eng
Bienvenida.,spa,spa
Ella lo presionó a que considerara la propuesta.,spa,spa
Tom said that he didn't know that Mary wasn't able to swim.,eng,eng
Seguí tu sugerencia.,spa,spa
Se les pusieron las manos azules por el frío.,spa,eng
Donar sangre es salvar vidas.,spa,eng
¿Hace calor por allá?,spa,eng
"Mis padres fueron a la iglesia, pero yo no fui.",spa,eng
Tom quiere que Mary lo quiera.,spa,spa
Mejor no anhelar sueños imposibles.,spa,eng
Y esto te lo dejaré hacer a ti.,spa,spa
Disculpe. ¿Dónde está la oficina de correo más cercana?,spa,spa
No hay señal de infección.,spa,eng
Lo hizo.,spa,eng
Tom and Mary both have new bicycles.,eng,eng
Mary said she's glad you were able to do that.,eng,spa
Fadil is on the run.,eng,spa
Todavía funciona a veces.,spa,eng
Él pagó 5 dólares por la comida.,spa,spa
Esta espada tiene una historia extraña.,spa,spa
No puedo esperar porque estoy con prisa.,spa,eng
Mary le ayudó a su madre a cocinar.,spa,spa
Un práctico se dedica a aparcar buques en el puerto.,spa,spa
Estoy tocando en el parque.,spa,spa
He suppressed his anger.,eng,spa
¿Quién dijo que íbamos a morir?,spa,eng
Don't you dare talk to me like that.,eng,spa
Tomás tiene el pelo largo.,spa,eng
Sami can't stand to see Layla like this.,eng,eng
Tom trimmed his beard for the wedding.,eng,eng
Este diente está suelto.,spa,spa
It is gone now.,eng,eng
I'll drive you back to your hotel.,eng,spa
Ella perdió el monedero.,spa,spa
No estoy acostumbrado a quedarme hasta tarde de noche.,spa,spa
Tom decided to help out.,eng,spa
Tom and Mary talked as if they knew everything.,eng,eng
¿Esta es la ciudad en la que nació Mika?,spa,spa
Es una historia increíble.,spa,eng
Sólo él y Dios saben lo que vivió.,spa,eng
¿Por qué existen los camiones hormigonera? ¿No es más fácil mezclar el cemento en la obra?,spa,eng
"María siempre prepara un aderezo con aceite de oliva, ajo y perejil para las ensaladas.",spa,eng
Es la primera vez que he derribado un árbol.,spa,eng
Can't you hear how silly it sounds?,eng,spa
We could have had some fun together.,eng,spa
He made good what he had promised to do.,eng,eng
¿Sabes cómo se cocina la carne?,spa,spa
"And, most important of all, the stone does not tell us what kind of happiness we should find in that house.",eng,eng
Setenta u ochenta años es la duración normal de la vida del hombre.,spa,eng
Ella leyó su carta una y otra vez.,spa,eng
Tom dejó de moverse.,spa,spa
Tom and Mary told me that they won.,eng,eng
Why do you always contradict me?,eng,spa
"Look, a squirrel!",eng,spa
Tom seguramente es bostoniano.,spa,spa
Tom thinks that that's ridiculous.,eng,eng
Nunca lo habríamos pensado.,spa,spa
Siempre supe que ella ocultaba algo.,spa,eng
Who are they fighting?,eng,eng
I wish it would rain.,eng,spa
Un perro feroz atacó a la niña.,spa,spa
El señor Schmidt fue quien me enseñó a usar esa máquina.,spa,spa
Todo el mundo sabe que estás loca por él.,spa,eng
"Ella sabe hablar francés, pero no sabe decir nada en inglés.",spa,eng
Tom moved here from Australia three years ago.,eng,eng
Sami was the imam of the only mosque in town.,eng,eng
Sami gave Layla his hand.,eng,spa
El hombre al que yo no conocía sabía muchas cosas sobre mí.,spa,eng
"Si tiene que dejar el primer empleo tras apenas seis meses de entrar a trabajar, no voy a decir que es estúpido, pero tampoco me parece inteligente.",spa,spa
Llamo porque he perdido mi tarjeta de crédito.,spa,spa
I want you to come back.,eng,eng
Layla's death didn't serve any purpose.,eng,spa
He passed away yesterday.,eng,eng
Please open your bag.,eng,eng
¿Quién ha hecho esto?,spa,eng
¿Quién es mayor?,spa,eng
Los milagros realmente existen y creemos en ellos.,spa,eng
Apenas habíamos llegado a casa cuando empezó a llover.,spa,spa
Tom and Mary were very candid in their interview.,eng,eng
Le estoy enseñando a mi gato a hacer sus necesidades en la caja de arena.,spa,spa
Keep hold of my hand if you're afraid.,eng,spa
Hoy debo visitar el supermercado.,spa,spa
I asked Tom about his new book.,eng,eng
Iba a ir a Boston la próxima semana pero he cambiado de idea.,spa,spa
I have a pen.,eng,spa
Sami wasn't a truthful person.,eng,eng
El radar tiene interferencias.,spa,eng
Una persona sana sin dinero está medio enferma.,spa,eng
Closing is an option.,eng,spa
"Los que son terroristas para unos, son la resistencia para otros.",spa,eng
Tom is a lot better at it than Mary is.,eng,eng
Todo el mundo quería ver lo que Tom estaba haciendo.,spa,spa
I can't dance very well.,eng,eng
Bill fue tarde a la escuela como de costumbre.,spa,eng
Sami will be fifteen in just a few days.,eng,eng
No hace falta poder volar para atrapar un ave.,spa,spa
"Ama a tu vecino, pero no pases su cerca.",spa,spa
Tom's office is very different from mine.,eng,spa
She's a sweet teacher.,eng,spa
"Por favor, borra este archivo.",spa,eng
¿Puedo llamarte mañana?,spa,spa
¿Es tu profesor?,spa,eng
His car lost control in a roundabout and flipped.,eng,spa
Hay un modo mejor.,spa,eng
We played and laughed.,eng,spa
Sami has ended this affair months ago.,eng,eng
I don't think Tom will be coming in this morning.,eng,eng
Tom thinks Mary is probably in the cafeteria.,eng,spa
Mary handed Tom her canteen and he took a drink.,eng,spa
No me importa ni un carajo la poesía.,spa,spa
"Tom llamó a Mary para disculparse, pero le colgó.",spa,eng
Quiero relajarme mucho.,spa,eng
Tom drove to the hospital as fast as he could.,eng,spa
Me acuerdo de una historia que me contó mi abuela.,spa,spa
Puedes ver la televisión después de cenar.,spa,spa
I'm the boss around here.,eng,spa
Ya hace mucho tiempo que él no les escribe.,spa,eng
Let them talk first.,eng,eng
Déjame saber qué andas haciendo.,spa,spa
Muplis es una pequeña herramienta para buscar oraciones en lojban.,spa,eng
Los dientes de delante se llaman incisivos.,spa,eng
Be careful with your choice of words.,eng,eng
They asked Mary why she was crying.,eng,eng
I know that Tom used to be a heavy smoker.,eng,eng
Estos cubos de hielo se derretirán pronto.,spa,spa
Me sorprendió lo que dijiste.,spa,spa
The new bridge is in process of construction.,eng,spa
Está en el bolsillo de mi chaqueta.,spa,spa
El avión va a aterrizar dentro de instantes.,spa,spa
That's very elegant.,eng,spa
Hice como si no lo entendiera.,spa,spa
Él perdió el reloj que había comprado el día anterior.,spa,spa
"Ese tipo de templo influenció todo el Medio Este, principalmente Egipto.",spa,eng
I don't think Tom would care if I did that.,eng,spa
Tiene los labios azules.,spa,eng
I made Mary go there by herself.,eng,eng
Tenemos un perro y un gato.,spa,eng
They say they aren't sleepy yet.,eng,eng
I'm going straight home.,eng,eng
He's talking with his friends.,eng,eng
Escribí mi nombre en el papel.,spa,spa
¿Cuáles son tus planes para esta noche?,spa,spa
Eres quisquilloso.,spa,eng
La mujer se levantó de la silla y miró hacia la puerta.,spa,spa
I can't believe this is happening to me.,eng,eng
¿Puedes ocuparte de conducir durante un rato?,spa,spa
"Habiéndose reconciliado después de una larga riña, Tom y Mary se reencontraron en medio de esta frase.",spa,eng
Should I ask Tom for help?,eng,spa
There's a BMI checkpoint ahead. They're calculating people's BMI and making them pay a fat tax.,eng,eng
He showed his mother around the city.,eng,eng
Voy a recoger a Tom.,spa,eng
Tom and Mary don't remember doing what everybody says they did.,eng,eng
He was a fresh face in American politics.,eng,eng
I set a trap.,eng,spa
Él seguido decía algo así.,spa,eng
Tom forgot to tell Mary what time the concert started.,eng,spa
I managed to get out of the crowd.,eng,eng
There's no class today.,eng,eng
Ojalá el gobierno respete nuestro acuerdo.,spa,spa
I knew that Tom wanted to do that here.,eng,spa
"Se estuvo peinando durante más de media hora, pero cuando salió estaba magnífica. ¡Hasta el chico que la ignoraba se la quedó mirando!",spa,spa
Mary was able to extend her visa.,eng,eng
There are some good apples in the basket.,eng,spa
I didn't want to sing anymore.,eng,eng
I thought that you expected me to do that.,eng,spa
How were you able to pull this off?,eng,eng
I don't think that anyone really understands me.,eng,eng
"Viendo lo moreno que estás, parece que has pasado la mayor parte de tus vacaciones en la playa.",spa,eng
Mary no puede pasar las navidades sin el belén.,spa,spa
Can I have a private opinion?,eng,spa
Let me get him.,eng,eng
De noche no hay mujer fea.,spa,eng
"Good morning, ladies and gentlemen!",eng,spa
This isn't Tom's office.,eng,eng
I don't think Tom did anything.,eng,eng
We alternated with each other in driving the car.,eng,eng
Lo visité el domingo a la mañana.,spa,spa
I told Tom that wasn't a good idea.,eng,spa
Would you like ice cream?,eng,spa
Entrega tu tarea el lunes.,spa,spa
They made their way through the crowd.,eng,eng
Tom and Mary respect their parents.,eng,spa
He visitado Kioto antes.,spa,spa
Tom offered to give me money.,eng,eng
"Si no hubiera desperdiciado el tiempo, ya habría terminado.",spa,spa
I've run out of milk.,eng,eng
"Why are you here in Australia? You're supposed to be in New Zealand, aren't you?",eng,eng
The brightness of the sky showed that the storm had passed.,eng,spa
Tom used the same excuse as you just did.,eng,spa
Japan tried to revive itself.,eng,eng
That's partly true.,eng,spa
Estaba acostado boca arriba.,spa,eng
Are you going to open the box?,eng,eng
The company asked the bank to loan them some money to buy new machinery.,eng,eng
Avísame cuando averigües qué es.,spa,eng
Tom has already decided he isn't going to try to escape.,eng,spa
¿Cuál te gusta más?,spa,eng
El comité se reunirá el próximo lunes.,spa,eng
Our world is only one small part of the universe.,eng,spa
How many days a week do you see Tom?,eng,eng
Se bajó del tren.,spa,spa
Mientras sigamos orientados únicamente a la producción y el consumo nunca saldremos victoriosos de nuestros problemas.,spa,eng
"Tomorrow, it will be cold.",eng,eng
"Si yo hubiese hecho una visita a Murcia, hubiera visto la catedral.",spa,spa
¿No lo sabías?,spa,eng
Turn left at the corner.,eng,spa
A vicious dog is attacking people all round the countryside.,eng,spa
Would you tell me why you did that?,eng,spa
Dadaab es el mayor campo de refugiados del mundo.,spa,spa
Here comes the good part.,eng,spa
Sami seemed to have no known enemies.,eng,spa
El acero es una aleación de hierro y carbono.,spa,eng
It's too large.,eng,eng
Ella todos los días cocina para el marido.,spa,spa
Nosotros en realidad no podemos predecir nada.,spa,spa
No le he visto desde el domingo pasado.,spa,spa
I know Tom could force you to do that.,eng,spa
He was patient.,eng,spa
It seems like he had never met his father before.,eng,eng
Tom and Mary didn't have enough money to buy what they needed.,eng,spa
Lamentablemente no gano mucho dinero.,spa,spa
They said they're prepared.,eng,spa
The judge declared Sami and Layla divorced.,eng,spa
Please listen to what Tom has to say.,eng,eng
Sami talked to his mom after school.,eng,eng
"Por favor, sentaos.",spa,eng
"Cuando llegue, el concierto estaba por terminar.",spa,spa
¿Quién es aquella mujer parada por allí?,spa,spa
"Fortunately, my son quickly adjusted to life in his new school.",eng,eng
My favorite color is red.,eng,spa
"Hey, I'm only trying to help.",eng,spa
Tom wasn't able to change anything.,eng,eng
"Puede que Tom no quiera cantar, pero aun así deberías preguntarle.",spa,spa
Tom and Mary know exactly what they have to do.,eng,eng
I always encouraged Tom.,eng,eng
Tom just got out of rehab.,eng,eng
Sus vecinos le conocían como Quesada.,spa,spa
Tom and Mary had the time of their life in Japan.,eng,spa
I think it's amazing.,eng,eng
Yumi estudia inglés arduamente.,spa,spa
Él no está en sus cabales.,spa,eng
No tengo ni idea de lo que estará pensando ese chico.,spa,eng
Can you buy that for Tom?,eng,eng
Tom probably didn't really mean what he said.,eng,spa
Te comportas como un niño y me aburres con tus preguntas.,spa,eng
Tom didn't realize I ought to do that.,eng,spa
Nadie me quiere.,spa,spa
Hubo mucha nieve el año pasado.,spa,spa
Mary loves sunsets.,eng,eng
Am I in love?,eng,spa
Es como confiar a Drácula el cuidado de un banco de sangre.,spa,spa
I know that I'm getting old.,eng,eng
Tom told Mary that he thought John was honest.,eng,spa
Tom asked Mary to walk a little slower.,eng,eng
We missed you last night.,eng,eng
Esta ciudad está hecha de castillos de vidrio.,spa,spa
I unplugged the lamp.,eng,spa
Cuando vivía en Londres trabajaba en un banco.,spa,eng
Tom was the only one who was drinking beer.,eng,spa
You're tempting fate.,eng,spa
Neither Tom nor Mary has a very nice car.,eng,eng
Would you like me to get you something to eat?,eng,spa
I like the green bicycle more than the pink.,eng,spa
I can't believe I believed him.,eng,eng
Democrats and Republicans worked together.,eng,spa
Tom didn't tell Mary what he has to buy.,eng,eng
I'm a stranger here.,eng,spa
El yoga puede ayudar en la lucha contra le estrés y en mantener una buena forma física y una buena salud.,spa,spa
Todos están presentes.,spa,spa
All Tom does nowadays is swim.,eng,eng
Tom told his children that Santa Claus wasn't real.,eng,spa
Por el día trabajamos y por la noche descansamos.,spa,eng
Tom and Mary thought they could do that if they had some help.,eng,spa
"Para pasar al otro lado es preciso rodear la cárcava, siempre encharcada.",spa,spa
"Yes, of course, you're correct.",eng,spa
Suspenders make my personality.,eng,eng
¿Usted habla turco?,spa,spa
Su conocimiento de inglés está por encima de la media.,spa,spa
¿Conoces el grupo sanguíneo de Tom?,spa,eng
Tom is probably a little younger than I am.,eng,eng
"The boy was frightened, and tried to say a prayer, but he could remember nothing but the multiplication table.",eng,eng
Un pasaporte es generalmente necesario cuando viajas al extranjero.,spa,eng
"Si el niño necesita comer, cocinale algo saludable.",spa,eng
No me gusta tu comportamiento.,spa,spa
He took his place at the table.,eng,eng
I was in an agony of discomfort.,eng,eng
Nuestra heladera está rota.,spa,spa
I would like to call on you one of these days.,eng,eng
Me pagaron primero.,spa,eng
Puse mi coche a su disposición.,spa,eng
"En la Edad Media, la astronomía y el misticismo eran estudiados prácticamente juntos.",spa,eng
Tom and Mary said they thought they could do that by themselves.,eng,eng
Tom and Mary said they'd complain.,eng,spa
They told me that they'd done that.,eng,spa
Le hablaremos al Dr. Shiegal por usted.,spa,spa
Ella reconoció haber cometido un error.,spa,eng
"Un poco más de ""nosotros"" y un poco menos de ""yo"". Un poco más de bondad y un poco menos de envidia. Un poco más de flores durante la vida y un poco menos de flores sobre la tumba.",spa,eng
Mary says she thinks Tom really did that.,eng,spa
I'm in partial agreement with you.,eng,eng
Existen numerosas universidades en Kioto.,spa,eng
Tom wasn't able to convince Mary do that.,eng,spa
"Explore the cave, but bring a flashlight with you.",eng,eng
Bill se enfadó y puso verde a Dick.,spa,spa
I didn't know you weren't supposed to do that today.,eng,eng
Tom sits at his computer all day.,eng,eng
I have the right to express my opinion.,eng,spa
Tom is having the same problems I am.,eng,eng
You must take the apple.,eng,spa
"As the trees crave tranquility in the ever-persistent wind, the child craves the care of its ever-absent parents.",eng,spa
Tengo cinta aislante del mismo color que los cables.,spa,eng
I didn't know Tom was your father.,eng,eng
Why do you do that?,eng,spa
Tom said that it was an exciting game.,eng,eng
Hay algo muy importante de lo que tenemos que conversar.,spa,spa
Ken habló ayer con sus amigos.,spa,eng
I wonder whether Mary really meant what she said.,eng,spa
I don't think Tom is tempted to do that.,eng,spa
The tuberculin reaction was positive.,eng,spa
Tom odia trabajar tarde en un viernes.,spa,spa
Tom is going for broke.,eng,eng
This befits you.,eng,eng
Let me do that myself.,eng,eng
"Ak is the Master Woodsman of the world; he sees everything, and knows more than the sons of men.",eng,eng
Tom can't do it all by himself.,eng,eng
"Tom estaba poniendo pegas sobre las frases que le concernían, mientras que Mary hacía todo lo posible para traducirlas.",spa,eng
¿Puedo irme a casa?,spa,spa
We gave up.,eng,spa
Él se relaja cuando toca la guitarra.,spa,spa
Debes tomar en cuenta la edad cuando juzgas su rendimiento.,spa,spa
I found it difficult to get along with him.,eng,eng
Quiero ser el que más gane.,spa,spa
Tom has only had three girlfriends.,eng,spa
"Yeah, you're right.",eng,eng
Tom perdió su trabajo hace tres meses atrás.,spa,eng
"Tom was devastated, but Mary wasn't.",eng,eng
"Si te conociera mejor, tal vez te habría dejado entrar.",spa,spa
I'm an old man.,eng,spa
Hemos estado haciendo el garrulo demasiado tiempo; lo mejor es que nos pongamos a ello.,spa,eng
I knew Tom would be annoyed.,eng,eng
There's no denying Tom is clever.,eng,spa
Tom said that I looked hungry.,eng,eng
Tom and Mary are cops.,eng,eng
Dick tocó el piano y Lucy cantó.,spa,eng
I didn't want to read that book.,eng,eng
"Cada vez que llueve, el techo gotea.",spa,spa
Ken es amable con las chicas.,spa,eng
We're extremely optimistic.,eng,spa
It's out of the question for me to leave my job.,eng,eng
Un estudiante no debería perder de vista su propia identidad.,spa,spa
No se puede vivir solo del aire.,spa,spa
"Hay personas que saben mucho, pero creen que no saben nada y hay personas que no saben nada, pero creen que saben mucho.",spa,eng
Tom and Mary told me they'd sort it out.,eng,spa
"Compared to our house, his is a palace.",eng,spa
¿Qué tipo de inhalador usas?,spa,eng
Todos queremos la paz mundial.,spa,spa
No repitas eso.,spa,eng
I didn't think you were wrong.,eng,eng
Soy de Tokio.,spa,spa
I don't think that it'll be easy.,eng,eng
Ella sostiene que no sabe nada acerca de él.,spa,spa
Debo admitir que me equivoqué.,spa,spa
Es mejor hacer las cosas uno mismo a delegar.,spa,spa
Sami felt a little agitated.,eng,spa
The tsar was the ruler of Russia.,eng,eng
Tom and Mary haven't said anything they weren't supposed to say.,eng,eng
They're a dime a dozen.,eng,spa
Tom doesn't think Mary will be sympathetic.,eng,spa
Tom and Mary say they don't know why you did that.,eng,spa
"Hay muchas llaves, así que no sé cuál elegir.",spa,eng
La gente en las regiones del este de Alemania han experimentado muchos cambios en su vida.,spa,spa
I doubt that Tom would do that.,eng,spa
I told them I'd be right back.,eng,eng
I didn't find anything new.,eng,eng
Mi amigo me preguntó si me sentía bien.,spa,spa
"No quiero polemizar, pero no coincido con tu punto de vista.",spa,spa
Las cámaras de seguridad de un comercio registraron el hecho.,spa,eng
Qué piernas mas sexis tienes.,spa,spa
He says he can't wait any longer.,eng,eng
Thanks for staying with her.,eng,eng
La suma de dos más tres más cuatro es nueve.,spa,spa
Ella fue una de las más bellas chicas.,spa,eng
Ese árbol está chueco.,spa,eng
Él alzó las cejas; no había esperado algo así.,spa,eng
"Compré una edición autografiada de las obras de Tom Miller por un irrisorio precio de doscientos euros en un mercadillo. ¡Ah, robé a ese vendedor desorientado! ¡Debo confesarme en la iglesia!",spa,eng
I have an even better idea.,eng,spa
Tom isn't at all stupid.,eng,spa
¿Te olvidaste de tu curso de alemán?,spa,spa
Jim me ha señalado algunos errores gramaticales en la redacción.,spa,spa
I'm glad you're home.,eng,eng
I may still do that.,eng,spa
The plane will arrive at three.,eng,spa
I couldn't possibly do that.,eng,spa
I don't know if I can cope with it.,eng,spa
I knew you wouldn't have enough time.,eng,eng
Mary told me that she needed money.,eng,eng
Las probabilidades son las mismas.,spa,eng
I didn't know Tom would ask Mary to help him.,eng,eng
Tom helped Mary off with her jacket.,eng,spa
Se puso pálida al oír la noticia.,spa,spa
Tom dice que ya no puede soportar este ruido.,spa,spa
Tom and Mary lost their balance.,eng,spa
El semáforo se puso rojo.,spa,eng
Tom wondered when the meeting would start.,eng,spa
Sami and Layla started dating seriously.,eng,eng
None of this would have happened if we'd been more careful.,eng,eng
Haz el corte más profundo.,spa,eng
"Apenas llegaron, comenzaron a pelear.",spa,spa
El espíritu corporativo es más un triunfo que una cualidad.,spa,spa
I didn't like spinach when I was a kid.,eng,spa
Tom decided not to talk about the war.,eng,eng
Tom won't be permitted to do that again.,eng,spa
Cada cual tiene el derecho de hacerse amigo de quien quiera.,spa,spa
Dame dos ejemplos de mamíferos acuáticos.,spa,eng
"Cuando mi padre vino a casa, estaba estudiando.",spa,spa
Tom took a bite of Mary's donut.,eng,spa
You're an ignorant fool.,eng,eng
"Me encanta el idioma portugués, y me arriesgo a decir que es la más bella lengua románica existente.",spa,spa
Se repartieron en grupos de cinco personas.,spa,eng
You're reliable.,eng,eng
Ellos concluyeron que él mentía.,spa,spa
My speaking and listening are not as good as my writing.,eng,eng
I didn't know we were supposed to do that with you.,eng,eng
Sami was fucking in his room.,eng,eng
They are constantly trying to outdo each other.,eng,eng
Tom will notify Mary.,eng,eng
Nuestro calefactor eléctrico no funciona bien.,spa,spa
I shouldn't have.,eng,spa
Se despertó desnuda en el suelo.,spa,eng
"However hard it may rain, we will start tomorrow.",eng,eng
I won't see her anymore.,eng,eng
I didn't see where the ball went after it hit the tree.,eng,spa
Temo que estaré atrapado aquí para siempre.,spa,spa
Learning runs in their blood.,eng,eng
Tom creates music playlists for retail shops.,eng,eng
I wasn't very motivated to do that.,eng,spa
Tom was bewildered.,eng,spa
Look at what's happening outside.,eng,spa
La masa de los planetas se calcula según la ley de la atracción universal.,spa,spa
¿Sabes?,spa,eng
Tom y yo a menudo nos damos regalos el uno al otro.,spa,eng
Mi esposa me golpea.,spa,spa
May I ask you a few questions?,eng,spa
Tom is drinking coffee with rancid cream and eating figs. Good times.,eng,eng
Tom compró carro nuevo.,spa,spa
La chica miró a su alrededor.,spa,spa
Smith reclamó el pago.,spa,eng
What are you doing home so early?,eng,eng
Unos pocos psicópatas pueden arruinar un país.,spa,eng
Es un cantante famoso en Japón.,spa,eng
Tom doesn't want to be the boss.,eng,eng
Tom debería haber discutido el asunto conmigo.,spa,eng
Is doing that difficult?,eng,spa
No puedo ver este álbum sin recordar mis días de colegio.,spa,eng
He only does what he has to do.,eng,eng
We've found an eyewitness that says you shot Tom.,eng,eng
Yo amo las tiras cómicas.,spa,eng
"De todos modos, quiero verlo.",spa,eng
Eso es injusto.,spa,eng
Tom realized Mary didn't love him as much as he loved her.,eng,eng
Puedes comer lo que quieras.,spa,spa
Los diccionarios de bolsillo están pasados de moda.,spa,spa
Me hizo algunas preguntas.,spa,eng
Ella aprobó la boda.,spa,eng
Ya ni siquiera sabía que todavía existían estos sentimientos.,spa,eng
She did all of her homework.,eng,eng
Él llevaba dos horas de lectura cuando ella entró.,spa,eng
Mantente en calma.,spa,eng
Did you double-check these figures?,eng,eng
This is a vernacular.,eng,spa
Mary didn't seem surprised when Tom told her he wanted to do that.,eng,spa
Tom gave me a lot of money.,eng,eng
I didn't want to stay in Boston any longer.,eng,eng
Americans simply had no desire to fight.,eng,eng
Tom wasn't surprised nobody else was there.,eng,spa
Es una copia.,spa,spa
Lo hiciste bien.,spa,spa
Después de la lluvia crecen muchas setas en el bosque.,spa,spa
Mary isn't as ugly as she used to be.,eng,eng
The class meets once a week.,eng,spa
"Tom is invited, isn't he?",eng,eng
¿Para qué se utiliza este objeto?,spa,eng
Mary doesn't really care how she does that.,eng,spa
Ella dijo que le gusto.,spa,eng
Fadil spent every spare moment searching the web for a gift to buy Layla.,eng,eng
Tom doesn't understand the environmental impacts associated with a Western lifestyle.,eng,eng
Tom viene en camino.,spa,spa
Texas is nearly twice as large as Japan.,eng,spa
I want to grow old gracefully.,eng,eng
Guilherme es de Brasil. Es brasileño.,spa,eng
I'll visit Mr. Brown's house tomorrow.,eng,eng
Your dream may come true at any moment.,eng,spa
Tom didn't reply to any of Mary's letter.,eng,spa
The curtain raised on a noisy cocktail party.,eng,eng
Tom has never called me.,eng,spa
I'm not planning on doing that by myself.,eng,eng
I've never heard Tom cry.,eng,eng
I borrowed money from her.,eng,eng
Me di cuenta que no podía ganar.,spa,spa
I think it would be safe for you to do that by yourself.,eng,eng
Tom said he thought Mary was innocent.,eng,spa
Es demasiado hermoso para ser cierto.,spa,spa
I thought Tom had gotten over Mary.,eng,eng
¿El vino es bueno?,spa,spa
Estaré esperando.,spa,spa
"Acláramelo, por favor, porque no entiendo nada.",spa,spa
Harry couldn't keep up with the class.,eng,eng
See that the window is closed.,eng,spa
La sal es necesaria para cocinar.,spa,spa
